,text,label,text_length
71,"- She was so #artistic, .. painting .. #smiles on every face but her own .. ■|",1,78
72,@user I want to snatch that beanie 🙃 tbh I'm kinda scared as well 😂,1,67
73,@user #strange but #amazing but I #love your #pictures 😍,1,56
74,"@user I'd just whip up a cake batter or cookies &amp; throw it in 😀 bakewell, frangipani is made with almonds",1,109
75,@user Hahaha @user almost fell off the sofa laughing at that point. The wee jump he did as if he was scared too 😭,1,113
76,I can't wait until I finally meet the loml. These pussy boys are really starting to irritate my soul.,0,101
77,@user @user it is indeed time 4 you 2 create the Ghost Filter 👻 please🙏🏾#CanWeGetAGhostFilter ???  #snapchat #ghostfilter #retweet,2,130
78,I'm so sick of that 'I'm done w. My ex na we're never getting back together' crap so You can get back together in like a month 😂,0,128
79,@user - @user has occupied one full lane for toll collection permanently resulting in traffic snarl everyday on UP Link Road,0,124
80,I am trying to get through to the #RAC because I've had a car collision..been waiting in a queue for 16 minutes #shocking,0,121
81,"@user @user @user  Not religious, but a game that the Inuit women play - first one to laugh, or breathless, losses.",1,115
82,"Mothafuckas wanna adopt the dark, but I was born in it",0,54
83,@user @user the one college stadium I really hope the offense is atrocious Who TF is Derron Smith?,0,98
84,"@user And i'm serious, 20-23 july, singapore, holiday (and accompany my friend for job interview), with one of my friend.",2,121
85,@user They give awful service and you haven't got back to my complaint yet. Can you guess the airline? #dontflyBA #annoyed,0,122
86,"@user Although I have a nice vulva, I choose not to intimidate other women with it.",2,83
87,@user Is it just me that thinks it looks boring?,3,48
88,I don't know how much longer I can play stupid 😒😔 #heartbroken #stupid #sadness,3,79
89,#theearlyshow my musical.ly is mariam_marigold @user #lively #musical.ly,1,72
90,@user Really?? Because music analyzes your screenshots with my microscope too??? I didn't think so #offended,0,108
91,Looking for good news today...not finding any on Twitter. Bummer. 😢 #depressing #badnews,3,88
92,3 hours of hell again. #anxiety. At this point I'm convinced I'll never get an on site job again or play keyboards live.,0,120
93,@user I'd never leave the couch again! #excited and #weary ❤️,1,61
94,They say ur a prdct of ur surroundings. A bit intimidated by the crazy amazing ppl I met @ @user @user @user @user,1,114
95,@user Which are sensible terror attacks parnab da???,0,52
96,"He is holding her so close, wrapped his hands around her shoulder, she is holding them and they're both smiling. I'm still living. ☺️",1,133
97,@user I'm feeling bad for the family dog.  #nightmare,3,53
98,"@user This is a deliberate act of provocation. AKP announcing their intention to abolish TSK, which has been their goal since day one.",0,134
99,♪ Racing all around the seven seas\nChasing all the girls and making robberies\n'Causing panic everywhere they go\nParty-hardy on Titanic... ♪,1,142
100,Remember when you were a kid and you flipped up the bottom of your shirt to make a pouch and put snacks in there?  #times  #snacks,1,130
101,"Me: 'I miss your personality,will it come back?' Him: 'I'm sorry.I'm me. You be you.' #Sad #depressed #longdistancerelationship",3,127
102,"@user Network bandwidth died after 9gb offer reedemed, damaging loyal customer relations  #improve",0,98
103,#ATO hacking into your phone calls and text messages! #privacylaws #invasion I knew they did it but hearing them get approval !,0,127
104,@user &amp; @user THANK YOU for the retweets. Much #appreciated!!! #horror #monsters #MonsterBrawl @user,1,104
105,10/10 do not recommend burning your scalp in the sun. my parting is glowing red and it burns 😂 where’s a cap when you need one?,0,127
106,Dry overnight here in Newmarket with a cool sunny start but set fair for Ladies Day #good ground,1,96
107,you take horrible dick pics @user,0,33
108,discouraged,3,11
109,"Today #wanking target: #Long #sexy #tongues\nThat's my #fetish - #long #yummy #tongue\nIf any girl want,sent me your tongue photo :) I love it",1,142
110,Yes #depression &amp; #anxiety are real but so is bein #grateful &amp; #happiness \nI choose how i wanna live MY life not some disorder,3,135
111,'Florian Picasso - Final Call' is raging at ShoutDRIVE!,0,55
112,Batman like to enrage the heat on the new dimity frock and proposed marriage to me! Polly Shaw will lay me a CBGB crazy balled,1,126
113,met a cute virgo boy from maine. He shared his joints with me while we harmonized in a garden.,1,94
114,@user I wonder if she's married at all or frustrated 😠 with men she came across,0,79
115,i want to cry just thinking about college and it was only the first day #a #good,3,80
116,Today all India Bank strike? WTH. Was this announced? What's this strike for?,0,77
117,"@user Duna what u mean mate, am a delight",1,41
118,@user I don't know my mouth was burning the whole time,3,54
119,"If you're nervous about tomorrow's #Origin game, just remember, if it's a decider next year it will again be the 'biggest game of all time'",2,139
120,#funny #quote #joke Hilarious joke quote of the day! For more funny jokes pics and great humor quote,1,100
121,"what does one do with all the bitterness + anger of lack of job security, esp. when one has no obvious manoeuvres to remedy the situation",0,137
122,@user homyghad 😢,3,16
123,@user This is the most fucking cursed FEHeroes unit I've ever had the displeasure of seeing,0,91
124,"@user You made me laugh today when you told a caller to turn up the volume, that you weren't doing the #MarvinGaye thing #levity",1,128
125,its horribly gloomy out rn and im flourishing,3,45
126,@user They are adorable !!! I need them all 😭,1,45
127,Cannot express my #hatred for @user they even screw me at work! 😠 this is 2nd time they cut our lines #idiots #worthless #needtobefined,0,135
128,"Catching up on Greys, almost couldn't make it through two episodes because of how sad the storyline was. Two best/worst eps for me.",3,131
129,Sector71-78 area is all full of #Immigrant #bangladeshi they are a #threat to us\nthey #steal #Rape #Kill #bully \n#SaveHindusInHindustan,0,137
130,"@user @user Americans do not spank their children, and they are a God fearing people who knows the biggest sin is hypocrisy.",2,124
131,@user @user a serious character flaw. Nowhere close to @user,0,60
132,@user 5000 likes. There are 300 million people in the U.S. Ha. You are Real popular 😅,1,85
133,#BonnieRaitt just made me feel all the feels. 😭 #favorite,1,57
134,"Have you ever just cried, because you were in the middle of some bomb rest and someone woke you up with an emergency. #sleep #cry #kms #dead",3,140
135,Paul is such a fucking bully! Dam leave the poor guy alone. He went on #BB19 to play the game same as you SMDH pathetic #annoyed #worstvet,0,138
136,"@user Well, thank you. Sincerely 😊",1,34
137,I hope you smiling and just laughing your soul out @user . I love you so much.. My Person\n                 😘😘😘😘\n                    😘😘😘😘,1,138
138,"Unrelated: when I see the words crème fraîche, I think of that South Park episode of Randy's obsession with the Food Network. 😃",1,127
139,see me #smiling at my #past like what was I thinking? \nFind #rest oh my #soul d #seas ń #storms still know HIS name. \n#JESUS\n#iLoveJesus,1,139
140,Summer Sale! BOGO 50% OFF everything in our retail showroom! Valid thru 7/15 mix &amp; match...equal or lesser value #BOGO #ragegrafix,1,134
141,@user Brilliant &amp; clever as always. #delight,1,48
142,Absolutely loving that people watching the #eclipse are cheering - for the sun! For the moon! For wonder! 💜 #beautiful,1,118
143,When you took off for expo but the flight you need is sold out 😭😭😭 So no expo for me,3,84
144,@user @user @user I believe ur mekka n madina also dikling which u kiss. A dark dirty one,0,89
145,Important read on the difference between #pleasure and #happiness and the relationship between #digitaltechnology #addiction &amp; #depression,1,142
146,@user This pain is restless even if my eyes are closed. I wish I never had won the race as a sperm.,3,99
147,@user Maybe Don Jr isn't dumb but wants to take revenge on his dad?,0,67
148,Well seeing the #Eclipse2017 was #amazing really cool even though it only lasted 2 mins,1,87
149,My innocent eyes 😭,3,18
150,@user @user @user @user @user Bitch played every role she ever did exactly the same.  #dull,0,91
151,@user @user Trump is now fuming.  He feels the whole game may now be blown because of Jr's stupidity.,0,101
152,"Thank you, @user for using the Afghanistan policy of #44... he was pretty smart! \n\nP.S. Do not look directly at the sun! #bad",2,127
153,@user Ur so flippin funny!!! I love it!!! #burning!!!,1,53
154,#sadness #cry 💔 dad will never understand his 3rd child,3,55
155,@user Truly dreadful,3,20
156,"you begin to irritate me, primitive",0,35
157,"@user @user @user @user Ring a ring of roses isto do with the plague, Im sure that will offend someone",0,102
158,huddling before flames\ndon't let poetry scare you\nproduction is wild\n#haiku,2,78
159,"@user Sir, people need revenge",0,30
160,When did we invent #kidfood ? Like oh they're a child so they can only eat #chickennuggets #crap #learn,0,103
161,"Lying at the pool with John , ice cream , drinks, 29 degrees and listening to busted ✌🏼️ #bliss",1,95
162,"Once you've been hurt, you're so scared to get attached again, you have a fear that every person is going to break your ❤️💯",3,123
163,"@user The hatred from the Left ought to concern everyone----who wants a police state-the left, so than can spy on all of us.",0,124
164,@user after you said an apple pie isn't naughty I really want Chris or  @user to say 'but a cream pie is' #naughymind #rage,0,123
165,"@user No one is above the law, if there is suspicion that a soldier did something wrong, why shouldn't they be held accountable?",0,128
166,this person hasn't uploaded episode six or seven of the lodge and i'm,0,69
167,what will we do when #GoTS7 is over? im starting acknowledging  #endoftheworld #GameOfThrones #dontleaveusjustyet,3,113
168,"Well, my minds officially blown after that #GameOfThrones #GoT #GoTS7e6 #WhiteWalkers #crying",3,93
169,Where did I go wrong?\nI lost a friend\nSomewhere along in the bitterness \n—,3,77
170,They leave you with so many unasked and unanswered questions.... #Grandparents #sadness #myroots #abuelitos,3,107
171,"@user Tried it once. Poured into the sink. Didn't bother to make tasting notes :-) Looks like cheap sake, tasted like it too...",0,127
172,@user Rumor has you are #wellendowed #awesome! Truth is you are a #big 😲 #notsomuch so you know a bunch of #gaypeople #sowhat,0,125
173,@user Ganguly chose? It is Kohli's provocation which compelled Dada to pick that pretentious fuck.,0,98
174,Why do I get mad so easily 😐,0,28
175,Still at school 🙁,3,17
176,@user @user Have you ever been to one of these things where someone wasn't unhappy?,3,83
177,"1 Samuel 18:15\nAnd when #Saul saw that he had great #success, he stood in #fearful #awe of him.",1,96
178,And the idiots are still gobbing their ridiculous garbage with no better brain it's all they do: the relentless braindead garbage gobbers,0,137
179,@user @user Happy birthday Mom what a wonderful cake delivery youre blessed,1,75
180,"@user growl like a dog, see if she lifts herself off and gives you space?",0,73
181,#AmarnathTerrorAttack saddened to hear this ....need to take strict action against #terrorism ...,3,97
182,@user 😂 He looked like a sea weed version of cousin IT from adams family and was reaaaally tall.,1,96
183,Real Q abt #DonaldTrumpJr mtg not being asked- did they show him proof of #trumpdossier &amp; threaten to blackmail #resistance #Putinspuppet,0,141
184,Low key Dro f*cked Molly like he had a point to prove lmao 😂 #InsecureHBOِ #insecure #MollyOutHereWreckingHomes #repeatcycle,0,124
185,New Lyft User? Use code to get credit: INVITES #Hey coupon clippers! #cheery #LyftNOW,1,85
186,One chair is having the munchies. Are Alpacas edible? #afraid #WhattheFAC #SalientFAC #Salient2017,0,98
187,"AJ ends up being a terrible character, but no one in his family ever actually speaks to him. He witnesses so much and just gets sent away.",3,138
188,@user @user Eng.R  u call a spade a spade if u were good lets all mourn but if you not pop a bottle and say good riddace,3,120
189,'The happiest moments in life are not actually spent laughing or smiling the whole time with so many people around.'\n#JonaxxBBTWKab39,1,134
190,@user I know it bothers me that u worry my love@zae200012 😢😢,3,60
191,On 1 side is the concern &amp; fear 4 our teens' safety &amp; happiness #thathorriblesuicidegame #terrifying #sosick (contd),3,124
192,@user @user I'm fuming that you're fuming 🙄 #fuming,0,51
193,someone cheer me up,1,19
194,'....trying to work out how a band featuring Corin Tucker and Peter Buck (REM) could be so bad.' WAAHHHHH @user  #devastated,3,124
195,@user Delaney keeping up his awesome Manchester United transfer record...\n\n😂,1,78
196,@user Really it was very sad and shame!!!,3,41
197,"Negative self-talk in #depression can extend to sleep, with catastrophic thinking about the impact of poor sleep fueling insomnia.",3,130
198,I'm legit in the worst mood ever. #annoyed #irritated,0,53
199,bcuz of a photoshopped pic of chanbaek lea is gonna get kicked out of her house #tragic #heartbreaking,3,102
200,The #World and it's communities and #leaders are #laughing at #America as #trump #destroys #America with his #nonstoplies &amp; #racism #hatred.,0,144
201,@user huhu kak help me through all of this,3,42
202,"@user So she's saying that the mountain of verifiable evidence that says otherwise is all fake news? Well, there's a surprise! 🤣",1,128
203,Gutted for #andymurray. #sadness #balls #Wimbledon2017 🎾😬🎾,3,58
204,"That moment you pour your heart and soul to a girl, she reads the message, but doesn't reply #love  #relationship #help #idontknow",3,130
205,"Don't be light and dark, night and day, smile and cry, ――you and me.",2,68
206,Grumpy AF today #badsleep  #grumpy,0,34
207,I'm changing the snowman's into awful looking monsters at night. Its so funny when their owners encounter them and scream!,1,122
208,@user first second on #WillTNT is music to my ears 😭❤️ #shaking #missedyou,3,74
209,Support your local #firefighters to help ensure they are able to carry out their job tonight without fear of attack or harassment. #nifrs,2,137
210,It bugs me that people concern themselves so much with what other people CHOOSE to do with their money 😂🙈,0,105
211,The fact that I could be in malia with Billie rn but instead I'm laid in bed watching repeats of Jeremy Kyle is making me wanna cry 😭,3,133
212,Any #GOP senator who refuses to #RepealAndReplace needs to bear the #wrath of their constituents @ polls home state!  #healthcare #price2pay,0,140
213,"@user Love your dogs...when I see how happy they are and my own dog, it helps me forget the crap. Thank you",1,107
214,Down to one roll... Wonderful I need more toilet paper. #personalassistant,1,74
215,"Again, this q. is brought to you by my slight feelings of irritation when I see 'obligated' over 'obliged', and I want to know if I'm right.",0,140
216,@user Jerrrrrr a woman is been stabbed in the face and now guys r arguing about her ass being real or not hehehee,0,113
217,I want to be like Eunice. #relentless,2,37
218,Your smile could never make me frown.,1,37
219,@user OMG! Are you kidding me with this? I thought Pence was bad but they had to go even farther!,0,97
220,Pretty upset with people bashing @user @user cast of 'the Know' catering to kids instead of gamers? lost respect..,3,114
221,"The #eclipse is boring. Check out @user , or @user , or @user , or @user These shows aren't boring.",2,99
222,"TFW you, a superhero introvert, have to let strangers into your house to mess around w the bathroom plumbing.  #thecatsandIarehiding",0,132
223,"@user No #racism, no #hatred , no #sectarianism  ... Only yes to love",2,69
224,@user bought a ticket from Harlow T to Heathrow from ticket machine and it was not accepted by Heathrow express #fuming,0,119
225,"So, basically, Donald Trump was so intimidated by Hillary Clinton that he sought foreign assistance (including cyberattacks) to 'win'?",0,134
226,@user @user @user @user @user Being #gay is not an #Whatsupwiththat #nike #adidas #??,0,85
227,@user happy birthday machaaaa 🎈🎉🎊 stay awesome and murah rezeki selalu 👍🏻,1,73
228,Few things more frustrating that organisations who don't have media contact numbers and request you 'fill out our online form' #rage,0,132
229,A bitter woman says 'All men are the same'\n\nA wise woman decides to stop choosing the same kind of men.,2,105
230,"@user No offense, but this post makes you look like an opinion disrespecter.",0,76
231,"@user « crouch, as though she is about to attack. She launches herself into the air towards me and explode in tiny dazzling orbs of »",0,133
232,"@user Like you said, its all propaganda against #Israel. Palestinian adults and their Govt are full of #hatred. So sad to see",3,125
233,I think #Saudis are responsible for most of the #islamic #terror in the world. Both with their #Wahhabism and by financing terrorists …,0,135
234,#dull start,3,11
235,Day 10 !!!! #milestone #sober slept 12 hours last night rather than my usual 6 my body made me had no choice.,3,109
236,@user @user Yes it is. I especially love the ramble chat love when they go off topic for like ten minutes. #awesomeness,1,119
237,@user This thread is a bunch of Putin lovers rejoicing over a video posted by Iranian state television. Sad!,3,108
238,You won't reach a #goal you hide in a drawer. Keep it in front of your face at all times.  #WednesdayWisdom,2,107
239,I miss my friends so badly 😢,3,28
240,When you get paid and you instantly start buying crap online that you don't need..,3,82
241,@user Lol....anger is not the best defense for attack. \nWait what do u do when ure angry?,0,90
242,12 PM Reminder: You are ok. You are safe. Don't panic. #anxiety #calm #panic,2,76
243,"We're in the bathroom and you perch on the sink,\nI begin to infatuate, exasperate, resuscitate.",0,96
244,"For every one concept I try to cram into my brain, I feel like I'm pushing out three. #panic",3,92
245,@user Whats more sad are the adults who continue to do it afterwards,3,68
246,From the archives... Strikeforce Champ Ronda Rousey 301 #chirp #church #mayhemmiller #naked #rip #rondarousey #twitter,3,118
247,We have a GLOBAL problem: Illicit trade in #tobacco products presents a serious #threat to public #health. #UNTobaccocontrol @user,0,130
248,"@user Yeah I've had that, l say hopefully you'll never get it then you horrific waste of skin.",0,94
249,I'm so sorry\nfor so many things\nI never say it\nmy burden to bear\nSo tired of talking\neven dreams grow stale\nMadness a relief\nto my #despair?,3,147
250,@user is the man,1,16
251,I fw @user he don't hesitate to speak his mind,2,46
252,"My main concern are the children and his wife thats if she is still stuck with him and if she is, then she's strong af. Jeez 😟",3,126
253,@user I hope didn't scare other people who owned this figure that he will move at midnight 😂,2,92
254,@user There should need to take serious action over terrorism sir,0,65
255,max @user is lit af he rly put up w my dumb ass for abt two yrs ol boy deserves an award &lt;3 i lov him sm hes a delight &amp; a half,1,134
256,Why am I listening to Trump when #BachelorInParadise is suppose to be on...get this crap off my TV! #ugh,0,104
257,@user at one point this is what i wanted rba sa? hahaha pero di jud oy di jud ☹ what if ga humss ta? 😭,3,102
258,Three more shifts then I start the next part of my tutorship in response #enjoyingthelastfewdays #excited #nervous #newchallanges,1,129
259,@user Couldn't have delivered without you @user - #inspiring #partnership #women,2,80
260,Does anybody mom annoy them just by talking and she probably not even trying to annoy you 😂,0,91
261,I need to get out of this little funk so I can write!! #writing #funk #writerslife #depressed,3,93
262,"*perusing the menu* I would like a green tea shake, please, with no whipped cream, but dusted with matcha. And perhaps a straw?",1,127
263,#jeremyvine take a slightly dull subject and makes it so tediously boring you actually want to rip your own throat out!,0,119
264,alec is a sad baby when he wakes up without magnus next to him n I'm screaming,3,78
265,Mentally suffered #iwanttodie #worthless #lifewithoutcolor  #pain #suicidal,3,75
266,"also, been kind of silent on s11 of the x-files because i am terrified that CC is going to screw it up! actually i know he will... #dreading",0,140
267,"The one most important thing we forget. That we need to denounce terrorism, not stoke communalism  #AmarnathTerrorAttack",0,120
268,@user @user Naming India Lynchistan is not provocation terror is a provication even when terror has no religion.,0,112
269,@user I said that once and my pals ripped me a new arsehole 😊,0,61
270,Sometimes in #life ....\nSee the #statement itself #sounds so #temporary\nNothing is permanent isn't it?\nSo #never #worry let it go &amp; #moveon,2,146
271,@user #crap sorry but doesn’t work,0,34
272,"lonely is not being alone, it's the feeling that no one cares. #alone #depressed #anxiety",3,89
273,#Sleep is my #drug. My bed is my dealer. My #alarm is the #cops. #School is the #jail. #TeamFollowBack,1,102
274,@user #sorrow of the #world produces #death. [2/2],3,50
275,Beautiful morning at the beach on Anna Maria Island with my wife. #vacation #blessed #happy,1,91
276,@user Oh my lord no I just be letting him hit himself cause he throws himself on the floor and throw tantrums 🤦🏽‍♀️,0,115
277,@user Max £1 bet #crap,0,22
278,@user @user Is it about rabid penguins on a plane,1,49
279,"The Majority is angry. Use of words like Kashmiriyat infuriate it further. Hope ministers, spokesmen weigh words ...",0,116
280,"My mother-in-law, in a fit of #rage, referred to someone as a 'yo-yo'.\n#yoyo #motherinlaw #amirite #fitofrage",0,110
281,One of my clients just said that my look reminded her of Kim Kardashian! Oh shoot hey now! Watch out...\nNot bad.. okay #flattered,1,130
282,#Work not to,3,12
283,May God grant us the ability to see His unfailing love fill the earth 🌏 #Psalm33:5 #awe,2,87
284,#Two legged stool sample... #humor #serious #comedy,1,51
285,@user @user Can you falter Katli?,0,33
286,@user Just ran out of data… #shiver,3,35
287,@user It's grim 😝,3,17
288,@user @user @user Still spreading the lies that Clinton allowed something like it was her sole decision. #sad,3,109
289,"@user I skip anything below 718 score tbh. Finding other fully SI horse teams is fun though, I added a few through arena. 🤣",1,123
290,@user @user Ugh..hate Manarino got this game 😦,0,46
291,@user Then dont disappoint them 😂,3,33
292,Idk why tiff always have a 6:30 am alarm that rings everyday for,0,64
293,@user Fuck sake i'm fuming. on the upside at least I can keep loving the bloke and that he didn't sign for Chelsea or Liverpool..,0,129
294,This time tomorrow I'll be at the airport for the first trek of my journey to America 👀  #alone,3,95
295,"and I don't want to spread it all over my twitter. It's my choice, but I, at least, needed to say this as I don't want to worry people.",2,135
296,When you realize you start college in literally less than a month hahahaha what the FUCK I just wanna be a #carefree teen forever TF,0,132
297,"#YummyMummiesAU Are you serious! Breastfeeding should be illegal?! You breathing our air should be illegal, dumbass! #stupid",0,124
298,@user how can u have sold so many copies but ur game has so many fucking bugs and mad lag issues. Optimize ur shit soon.,0,120
299,@user Support Qld and you'd never be #angry,0,43
300,"@user @user It ruins my frigging night each night at 9pm. Mrs loves it, i've been early to bed for a month.",0,107
301,Dro and his teeth are still fine tho #insecure,2,46
302,Binge watching #revenge  im obsessed 🤓,0,38
303,"And now that Im having the other way around, i feel so upset and sad",3,68
304,@user hopefully you are always #smiling TY #appreciate ya,1,57
305,"God's help for Israel in Isaiah 41:10, is for u today. Don’t be afraid or discouraged, He's ur God who will strengthen, help &amp; hold u up.",2,141
306,Mon the Blues! #origin #queenslandvsnsw #blues #hayneplane 🔵🔵🔵🔵🔵🔵🔵,1,66
307,Thing is ... It's hard to be sober,3,34
308,"faint glimpse of the circling stars. Presently, as I went on, still gaining velocity, the palpitation of night and day merged into one",1,134
309,God bless him in Hong Kong! #ex,1,31
310,@user @user @user Ah so that's why every time I see it I burst out with KAYLEIGH!!!,1,83
311,@user It just reminds us of the 90s &amp; early 00s. 'I'll have a pinot grigio' still makes us shudder.,3,103
312,Wonder how many times connor says fuck in press conference #lost count,0,70
313,@user @user @user The official pi jam kit has arrived! #RaspberryPi #excitement,1,79
314,@user Yea I'm going to go back when I get off work because that's ridiculous 😭 I'm super pissed,0,95
315,"Shall rest by day, a fiery gleam by night;",1,42
316,@user Fuck off. Enough of this fake solidarity. #NotInMyName was a rabid #Hinduphobic campaign. Stop giving them legitimacy.,0,124
317,My work called me at fucking 5 am to tell me to come in at 6 instead of 7 I’m fuming,0,84
318,@user I remember when Ron Reagan said tear down that wall.  Trump is so afraid of 'others' he obviously doesn't feel safe.,0,122
319,Nothing fuels my daily anger and hatred like a bus driver who stops at a yellow light,0,85
320,zayuuum...bey's tatas got huge lol😋 #yummy,1,42
321,@user why is your phone and booking system so poor,0,50
322,U know what's very pathetic? The fact that I dearly miss my professors but they probably forgot about me already. #sad #:(,3,122
323,I'm extra lazy today 😟,3,22
